nr_in_paper;country;location;status;year_of_screening;source;lat;lon
1;Ireland;Cork_Harbour;infected;1987;"McArdle_et_al.,_1991;_Culloty_et_al.,_2007";51.775601;-8.288862
2;Ireland;Tralee_Bay;free;na;Culloty_et_al.,_2007;52.297689;-9.934113
3;Ireland;Galway_Bay_Clarenbridge;infected;1989;McArdle_et_al.,_1991;53.211959;-8.919806
4;Ireland;Kilkieran_Bay;infected;2016;European_Commission,_2017;53.301986;-9.729361
5;Ireland;Ballinakill;infected;1993;Culloty_et_al.,_2007;53.569253;-10.007122
6;Ireland;Clew_Bay;infected;1988;Culloty_et_al.,_2007;53.839277;-9.783719
7;Ireland;Achill_and_Blacksod_Bay;infected;2002;Culloty_et_al.,_2007;54.047776;-9.944249
8;Ireland;Belmullet;infected;2003;Culloty_et_al.,_2007;54.289653;-9.918698
9;Ireland;Lough_Swilly;infected;2006;Culloty_et_al.,_2007;55.271750;-7.577929
10;Ireland;Lough_Foyle;infected;2005;"Culloty_et_al.,_2007;_Laing_et_al.,_2014";55.206662;-6.889725
11;Ireland;Strangford_Lough;infected;2008;Laing_et_al.,_2014;54.325261;-5.519445
12;England;Holy_Island;free;na;Laing_et_al.,_2014;55.675910;-1.825455
13;England;Humber_Estuary;uncertain;na;C._Gamble,_personal_communication,_2019;53.585464;0.051475
14;England;Brancaster;free;na;Laing_et_al.,_2014;53.022158;0.722374
15.1;England;River_Blyth;free;na;Laing_et_al.,_2014;52.313265;1.678645
15.2;England;River_Alde;free;na;Laing_et_al.,_2014;52.039895;1.462953
16;England;Walton_Backwaters;infected;1982-2012;Laing_et_al.,_2014;51.885819;1.284557
17;England;River_Colne;infected;1982-2012;Laing_et_al.,_2014;51.792035;1.014646
18;England;River_Blackwater;infected;1982-2012;Laing_et_al.,_2014;51.751822;0.903297
19;England;River_Crouch/Roach;infected;1982-2012;Laing_et_al.,_2014;51.627304;0.941972
20;England;South_Thames;infected;1982-2012;Laing_et_al.,_2014;51.391690;1.240364
21;England;Chichester_Harbour;infected;1982-2012;Laing_et_al.,_2014;50.790626;-0.932176
22;England;Langstone_Harbour;infected;1982-2012;Laing_et_al.,_2014;50.813225;-1.011794
23;England;Portsmouth_Harbour;infected;1982-2012;Laing_et_al.,_2014;50.824682;-1.119749
24;England;The_Solent;infected;1982-2012;Laing_et_al.,_2014;50.751097;-1.104432
25;England;Poole_Bay;infected;1982-2012;Laing_et_al.,_2014;50.664334;-1.912768
26;England;Poole_Harbour;infected;1982-2012;Laing_et_al.,_2014;50.682448;-1.965406
27;England;Portland_Harbour;infected;1982-2012;Laing_et_al.,_2014;50.595223;-2.419916
28;England;River_Dart;free;na;Laing_et_al.,_2014;50.330934;-3.556445
29;England;River_Avon;free;na;Laing_et_al.,_2014;50.276922;-3.889217
30;England;River_Yealm;free;na;Laing_et_al.,_2014;50.311831;-4.070668
31;England;Plymouth_Harbour;infected;1982-2012;Laing_et_al.,_2014;41.982287;-70.631823
32;England;River_Fowey;free;na;Laing_et_al.,_2014;50.322959;-4.644510
33;England;River_Fal;infected;1982-2012;Laing_et_al.,_2014;50.199921;-5.036815
34;England;River_Helford;infected;1982-2012;Laing_et_al.,_2014;50.096205;-5.090245
35;England;Swansea_Bay;free;na;Laing_et_al.,_2014;51.587027;-3.933539
36;England;River_Cleddau;infected;1982-2012;Laing_et_al.,_2014;51.700368;-5.114590
37;England;Menai_Strait;infected;1982-2012;Laing_et_al.,_2014;53.253108;-4.067000
38;England;Morecambe_Bay;free;na;Laing_et_al.,_2014;54.124306;-2.902007
39;Scotland;Loch_Ryan;free;na;B._Sanderson,_personal_communication,_2019;55.058174;-5.107137
40;Scotland;West_Loch_Tarbert;infected;1982-2012;Laing_et_al.,_2014;55.746293;-5.620460
41.1;Scotland;Lynn_of_Lorne;infected ;2019;Scottish_Government,_2020;56.460389;-5.481698
41.2;Scotland;Loch_Creran;infected ;2019;Scottish_Government,_2020;56.519640;-5.383333
41.3;Scotland;Loch_Etive;infected ;2019;Scottish_Government,_2020;56.463569;-5.341098
42;Scotland;Loch_Sunart;infected;1982-2012;Laing_et_al.,_2014;56.666542;-5.960692
43;Scotland;Little_Loch_Broom;free;na;B._Sanderson,_personal_communication,_2019;57.896785;-5.337884
44;Scotland;Durness;free;na;B._Sanderson,_personal_communication,_2019;58.578325;-4.723869
45;Scotland;Dornoch_Firth;infected;2019;Scottish_Government,_2020;57.853095;-3.990151
