hex,project_short
"(-10, -13, 23)",Wales_native_oyster_restoration
"(-11, 16, -5)",Kilchoan_Melfort; Seawilding_Craighnish
"(-11, 7, 4)",NONI_Bangor
"(-14, -4, 18)",NORRI_Arklow
"(-14, 0, 14)",Green_Ocean_Dun_Laoghaire; Green_Ocean_Howth; Green_Ocean_Poolbay
"(-14, 1, 13)",Green_Ocean_Malahide
"(-25, 6, 19)",NOREAN_Dublin
"(-27, 6, 21)",Galway_Bay_Oyster_Restoration
"(-30, 12, 18)",Clew_Bay
"(-30, 8, 22)",Oisre_KilkiernanBay
"(-30, 9, 21)",Oisre_BertranghboyBay
"(-4, -6, 10)",Wild_Oysters_Conway
"(-4, 24, -20)",DEEP_Dornoch
"(-7, -36, 43)",CLIMAREST_Brest; FOREVER_Brest
"(-8, 11, -3)",Wild_Oysters_Clyde
"(-9, -34, 43)",ARCHE_Lanildut; REEFOREST_Logonna-Daoulas
"(0, -45, 45)",CLIMAREST_Quiberon; FOREVER2_Quiberon
"(0, -46, 46)",ARPROE_Hout
"(1, -47, 46)",ARPROE_Hoedic
"(110, -115, 5)",Oyster_spat_for_Mediterranean_region
"(12, -39, 27)",MARINEFF_Bernieressurmer
"(13, -113, 100)",Mar_Menor_Oyster_Project
"(13, -40, 27)",MARINEFF_Ouistreham
"(14, -13, -1)",HAP_Humber
"(18, -26, 8)",ENORI_Blackwater; ENORI_Colne
"(19, -27, 8)",ENORI_Crouch; ENORI_Roach
"(25, -31, 6)",BELREEFS_VlaamseBanken
"(27, -31, 4)",Blauwind_and_TRNS_Borssele; UNITED
"(28, -31, 3)",EcoScour_BorsseleV
"(31, -31, 0)",Voordelta
"(32, -28, -4)",TRNS_Luchterduinen
"(35, -24, -11)",PAGW_Texel
"(39, -20, -19)",TRNS_Gemini
"(42, -23, -19)",RESTORE_II_BRG
"(42, -24, -18)",Borkum_Stones
"(45, -5, -40)",BioReef_Thyboron
"(47, -22, -25)",RESTORE_II_PROCEED_Helgoland
"(5, -27, 22)",MARINEFF_Bournemouth
"(5, -40, 35)",MARINEFF_Dinard
"(54, 6, -60)",Bivalve_Project_Kosterhavets
"(7, -1, -6)",Wild_Oysters_Project_TyneWear
"(7, -34, 27)",MARINEFF_Cherbourg
"(80, -92, 12)",MAREA
"(9, -29, 20)",Solent_oyster_restroation
"(9, -58, 49)",REFONA_Pertuis
"(9, -68, 59)",REFONA_Bassind'Arcachon
