ID;location;depth;habitat_certainty;lat;lon
1;Galicia;;LL;43.55337;-7.15732
2;Galicia;;LL;43.55337;-7.15732
3;Galicia;;LL;43.71104;-7.84381
19;Galicia;;LL;43.22967;-8.9639
20;Galicia;;LL;42.59783;-8.88283
21;Galicia;;LL;42.70738;-8.79235
22;Galicia;;LL;42.51073;-8.85459
23;Galicia;;LL;42.42362;-8.82645
24;Galicia;;LL;42.27162;-8.65245
25;Galicia;;LL;42.22691;-8.88848
26;Catalonia;;LL;42.13366;3.16523
27;Galicia;;LL;43.55337;-7.15732
28;Galicia;;LL;42.66229;-9.02995
29;Galicia;;LL;43.71104;-7.84381
30;Galicia;;LL;42.42362;-8.82645
31;Galicia;;LL;42.35881;-8.68021
32;Galicia;;LL;42.31403;-8.91655
35;Galicia;;LL;43.34109;-8.36368
36;Galicia;;LL;43.45017;-8.2714
37;Emsworth;;HH;50.85568;-0.92761
38;Hayling_Island;;HH;50.85568;-0.92761
39;Faversham;;HH;51.38272;0.97891
40;Queenborough;;HH;51.44925;0.67536
41;Rochester;;HH;51.34869;0.55105
42;Seasalter;;HH;51.38272;0.97891
43;Sheppey;;HH;51.37155;0.83623
44;Whitstable;;HH;51.38272;0.97891
45;Wexford_Harbour;;HH;52.3127;-6.37986
46;Firth_of_Forth;;HH;55.98306;-3.31571
47;Queenborough_(Kent);;HH;51.44925;0.67536
48;Essex;;HH;51.83923;1.03365
49;Pesaro;;HH;44.03229;13.16003
50;Bay_of_Firth;shore;HH;59.02309;-3.05119
51;Shannon_Estuary;;HH;52.5661;-9.53424
52;Thames;;HH;51.52671;0.51392
53;Dublin;;HH;53.35253;-6.16502
54;Fiorenzuola_di_Focara;;HH;43.95289;12.78246
55;Ancona;;HH;43.6598;13.51111
56;Brondolo;;HH;45.22672;12.33707
57;Ringaskiddy;;HH;51.84137;-8.30371
58;Rimini;;HH;44.13644;12.66658
59;Cesenatico;;HH;44.2327;12.42111
60;Cervia;;HH;44.2327;12.42111
61;Long_Hope_Orkney;;HH;58.83029;-3.1552
62;Poolbeg;;HH;53.35253;-6.16502
63;Sligo_River;shore;HH;54.29029;-8.60318
64;Caldey;;HH;51.62767;-4.64417
65;Castle_Pill;;HH;51.67913;-4.95729
66;Langwm;;HH;51.67913;-4.95729
67;Lawrenny;;HH;51.69737;-4.81523
68;Milford_Haven;;HH;51.66071;-5.09925
69;Pennar_Mouth;;HH;51.67913;-4.95729
70;Ringhaddy,_Strangford_Lough;shore;HH;54.43105;-5.64219
71;Faversham;;HH;51.38272;0.97891
72;Carlingford_Lough;;HH;54.09052;-6.1407
73;Milton;;HH;51.36021;0.6936
74;Whitstable;;HH;51.38272;0.97891
75;Faversham;;HH;51.38272;0.97891
76;Essex;;HH;51.83923;1.03365
77;Galicia;;HH;43.38468;-8.12303
78;Galicia;;HH;43.38468;-8.12303
79;Schleswigian_oyster_beds;;HH;55.04872;8.65192
80;Schleswigian_oyster_beds;;HH;54.9571;8.49889
81;Schleswigian_oyster_beds;;HH;54.95887;8.6549
82;Schleswigian_oyster_beds;;HH;54.86726;8.5022
83;Schleswigian_oyster_beds;;HH;54.9571;8.49889
84;Schleswigian_oyster_beds;;HH;54.86529;8.34654
85;Schleswigian_oyster_beds;;HH;54.77546;8.35017
86;Schleswigian_oyster_beds;;HH;54.68758;8.50876
87;Colne;;HH;51.83923;1.03365
88;Connemara;;HH;53.51225;-9.98024
89;Galway_Bay;;HH;53.20157;-9.05042
90;Loch_Hyne;;HH;51.48444;-9.35344
91;Malahide;;HH;53.4398;-6.19872
92;Glandore_Harbour;up_to_8_fm;HH;51.53136;-9.07378
93;Fano;21_metres;HH;43.9459;13.03089
94;Rimini;;HH;44.13958;12.54195
95;Primaro;;HH;44.68617;12.31458
96;Arklow;;HH;52.70176;-6.2235
97;Arklow;;HH;52.72161;-6.07866
98;Glascarrig;;HH;52.61448;-6.19056
99;Glascurrig;;HH;52.72161;-6.07866
100;Kinsale_Harbour;;HH;51.70974;-8.54932
101;Schleswigian_oyster_beds;;HH;55.04872;8.65192
102;Queenborough;;HH;51.44925;0.67536
103;Youghal_Harbour;;HH;51.99453;-7.91496
104;Whitstable;;HH;51.38272;0.97891
105;Schleswigian_oyster_beds;;HH;55.04872;8.65192
106;Schleswigian_oyster_beds;;HH;54.9571;8.49889
107;Schleswigian_oyster_beds;;HH;54.95887;8.6549
108;Schleswigian_oyster_beds;;HH;54.86726;8.5022
109;Schleswigian_oyster_beds;;HH;54.9571;8.49889
110;Schleswigian_oyster_beds;;HH;54.86529;8.34654
111;Schleswigian_oyster_beds;;HH;54.77546;8.35017
112;Schleswigian_oyster_beds;;HH;54.68758;8.50876
113;Aberffraw;;HH;53.20951;-4.42054
114;Caernarfon;;HH;53.13933;-4.24384
115;Holyhead;;HH;53.36716;-4.62824
116;Milford_Haven;;HH;51.66071;-5.09925
117;Penmon_(E_Anglesey);;HH;53.34993;-4.00779
118;Porthdinllaen_head;;HH;52.91039;-4.62387
119;Castlehaven;up_to_8_fm;HH;51.50798;-9.21368
120;Kenmare_Bay;;HH;51.89141;-9.68538
121;Swalecliffe;;HH;51.39371;1.12166
123;Blacksod_Bay;Intertidal;HH;54.16262;-9.9812
124;Brighton;;HH;50.65381;-0.16454
125;Ballybrickan;;HH;51.90544;-8.48137
126;Bantry_Bay;;HH;51.65687;-9.42934
127;Ålbæk_Bugt;;HH;57.57145;10.56424
128;Galicia;;HH;43.47193;-8.15087
129;Galicia;;HH;42.27162;-8.65245
130;Strangford_Lough;Intertidal;HH;54.51846;-5.67602
131;Faversham;;HH;51.38272;0.97891
132;Inch_Kenneth;;HH;56.47892;-6.15
133;Land's_End;;HH;50.09621;-5.16338
136;Rochester;;HH;51.34869;0.55105
137;Sandwich_Bay;;HH;51.32601;1.42415
138;Tralee_Bay;;HH;52.23562;-9.84253
139;Schiermonnikoog;;HH;53.47172;6.29097
140;Borkum;;HH;53.57442;6.73546
141;Lauwerszee;;HH;53.46703;6.14058
143;Dalkey_Sound;;HH;53.26525;-6.13148
144;Howth;;HH;53.37234;-6.01801
145;Ireland's_Eye;18-20_fm;HH;53.45966;-6.05144
146;Poolbeg;;HH;53.35253;-6.16502
147;Skerries;;HH;53.54696;-6.08502
149;Colne;;HH;51.83923;1.03365
150;Cork;;HH;51.92797;-8.33996
151;Dublin;;HH;53.35253;-6.16502
152;Maldon;;HH;51.72778;0.76379
153;Orkney;;HH;59.02309;-3.05119
154;Pont-Burnham;;HH;51.63873;0.78203
155;Tees;;LH;54.64789;-1.14244
156;Waterford;;HH;52.23094;-6.95278
157;Belfast_Lough;;HH;54.67368;-5.89594
158;Cantabria;;HH;43.33456;-4.44257
159;Helford_estuary;;HH;50.09621;-5.16338
160;Whitstable;;HH;51.38272;0.97891
161;Loch_Ryan;;HH;54.96352;-5.04939
162;La_Barca;;HH;;
163;San_Vicente_de_la_Barquera;;HH;;
164;Laxey,_Isle_of_Man;;HH;54.22863;-4.30697
165;Culloden;;HH;57.53196;-4.21768
166;Loch_Ryan;;HH;54.96352;-5.04939
167;Cantabria;;HH;43.46827;-3.47033
168;Cromarty_Firth;;HH;57.72538;-4.12202
169;Loch_Craignish;;HH;56.18869;-5.52992
170;Loch_Crinan;;HH;56.10125;-5.4944
171;Wexford;;HH;52.3127;-6.37986
172;Jura;;HH;55.95531;-5.92917
173;Kirkcudbright;;HH;54.80837;-4.03582
174;Loch_Tarbert;;HH;55.73223;-5.51007
175;Shetland;;HH;60.09154;-1.27932
176;Shetland;;HH;60.54913;-1.25216
177;Loch_Einart;;HH;57.19677;-6.29451
178;Strangford_Lough;;HH;54.43105;-5.64219
179;Firth_of_Forth;;HH;55.98306;-3.31571
180;Firth_of_Forth;;HH;55.9114;-3.12806
181;English_Channel;;HH;48.94296;-1.87996
182;Island_of_Lewis;;HH;58.1996;-7.10595
183;Stronsay_Firth;;HH;59.15971;-2.56949
185;Loch_Grishernish;;HH;57.45825;-6.41162
186;Kyle_of_Scalpa;intertidal;HH;57.34417;-5.84746
187;Kattegat;20_m;HH;57.03207;10.55617
188;Juist;;HH;53.66814;6.87971
189;Borkum;;HH;53.57442;6.73546
191;South_of_Texel;;HH;53.0644;4.98066
192;Vlieland;;HH;53.24977;5.10925
193;Terschelling;;HH;53.35116;5.39875
194;Ringhaddy,_Strangford_Lough;;HH;54.43105;-5.64219
195;Cantabria;;HH;43.37967;-3.44962
196;Puffin_Island;;HH;53.24468;-4.12608
197;Belfast_Lough;shore;HH;54.67368;-5.89594
198;Arklow;;HH;52.72161;-6.07866
199;Carrigline_River;;HH;51.8189;-8.44487
200;Jersey;;HH;49.29731;-1.96682
201;Shannon_Estuary;;HH;52.5661;-9.53424
