restoration_site;country;project_short;project_long;lat;lon
Arklow_Bay;Ireland;NORRI_Arklow;Native_Oyster_Reef_Restoration_Ireland;52.793288;-6.136648
Bangor_Marina;Ireland;NONI_Bangor;Native_Oyster_Restoration_In_Northern_Ireland;54.668316;-5.67096
Bassin_d’Arcachon;France;REFONA_Bassind'Arcachon;Restoration_and_conservation_of_the_flat_oyster_in_Nouvelle_Aquitaine;44.603145;-1.288774
Bay_of_Brest;France;FOREVER_Brest;Flat_Oyster_Recovery;48.33367;-4.48
Bernieres-sur-mer;France;MARINEFF_Bernieressurmer;Marine_Infrastructure_Effects;49.343387;-0.412101
Blackwater_estuary;England;ENORI_Blackwater;Essex_Native_Oyster_Restoration_Initiative;51.741239;1.003572
Borkum_Reefground_BRG;Germany;RESTORE_II_BRG;Ecological_Restoration_of_the_Native_Oyster_Species_Ostrea_edulis;53.83652615;6.501077785
Borkum_Stones;Netherlands;Borkum_Stones;Borkum_Stones,_Voordelta;53.642379;6.46238
Bournemouth;England;MARINEFF_Bournemouth;Marine_Infrastructure_Effects;50.699989;-1.909586
Cherbourg;France;MARINEFF_Cherbourg;Marine_Infrastructure_Effects;49.675527;-1.615668
Colne_estuary;England;ENORI_Colne;Essex_Native_Oyster_Restoration_Initiative;51.741239;1.003572
Conway_Bay;Wales;Wild_Oysters_Conway;The_Wild_Oysters_Project;53.300066;-3.854213
Crouch_estuary;England;ENORI_Crouch;Essex_Native_Oyster_Restoration_Initiative;51.651679;1.040078
Dinard_Bay;France;MARINEFF_Dinard;Marine_Infrastructure_Effects;48.633289;-2.039545
Dornoch_Firth;Scotland;DEEP_Dornoch;The_Dornoch_Environmental_Enhancement_Project;57.852228;-3.995161
Firth_of_Clyde;Scotland;Wild_Oysters_Clyde;The_Wild_Oysters_Project;55.522634;-4.916959
Galway_Bay;Ireland;Galway_Bay_Oyster_Restoration;Galway_Bay_Oyster_Restoration_Project;53.213635;-9.077522
Helgoland;Germany;RESTORE_II_PROCEED_Helgoland;Ecological_Restoration_of_the_Native_Oyster_Species_Ostrea_edulis;54.20181769;7.900831215
Kosterhavets_Nationalpark;Sweden;Bivalve_Project_Kosterhavets;The_Bivalve_Project;58.906095;11.054719
Lanildut;France;ARCHE_Lanildut;Improving_Artificial_Reproduction_in_hatCHEry_to_assist_the_restoration_of_the_flat_oyster_in_France;48.469441;-4.763899
Loch_Craignish;Scotland;Seawilding_Craighnish;Loch_Craignish_Native_Oyster_Restoration_Project;56.0943;-5.612885
Loch_Melfort;Scotland;Kilchoan_Melfort;Kilchoan_Native_Oyster_Restoration_Project;56.179186;-5.613219
Logonna-Daoulas;France;REEFOREST_Logonna-Daoulas;Restoring_the_European_Flat_Oyster_Reefs_and_their_Ecosystem_Services_on_the_French_Coast;48.469441;-4.763899
Mali_Ston_Bay;Kroatia;Oyster_spat_for_Mediterranean_region;Oyster_spat_for_Mediterranean_region;42.969589;17.462685
Mar_Menor;Spain;Mar_Menor_Oyster_Project;Mar_Menor_Oyster_Project;37.813923;-0.782778
Milford_Haven_waterway;Wales;Wales_native_oyster_restoration;The_Wales_native_oyster_restoration_project;51.668596;-5.155792
offshore_windfarm;Belgium;UNITED;Multi-Use_offshore_platforms_demonstrators_for_boosting_cost-effective_and_eco-friendly_production_in_sustainable_marine_activities;51.64668;2.778792
offshore_windfarm_Borssele_II_and_IV;Netherlands;Blauwind_and_TRNS_Borssele;Blauwind_and_the_rich_North_Sea_Oyster_Pilot;51.688117;2.84749
Ouistreham;France;MARINEFF_Ouistreham;Marine_Infrastructure_Effects;49.307436;-0.264489
Pertuis_d'Antioche;France;REFONA_Pertuis;Restoration_and_conservation_of_the_flat_oyster_in_Nouvelle_Aquitaine;46.072099;-1.235528
Quiberon_Bay;France;FOREVER2_Quiberon;Flat_Oyster_Recovery;47.497875;-2.988428
Roach_estuary;England;ENORI_Roach;Essex_Native_Oyster_Restoration_Initiative;51.651679;1.040078
Solent;England;Solent_oyster_restroation;Solent_oyster_restroation_project;50.744468;-1.067398
Spurn_Point_(Humber_estuary);England;HAP_Humber;The_Humber_Aquaculture_Partnership;53.551045;0.097863
Texel;Netherlands;PAGW_Texel;Programme_towards_a_Rich_Wadden_Sea;53.197865;4.826069
Thyboron;Denmark;BioReef_Thyboron;Restoring_populations_of_European_oyster_and_horse_mussel;56.72223062;8.196620506
Tyne_and_Wear;England;Wild_Oysters_Project_TyneWear;The_Wild_Oysters_Project;54.920371;-1.349515
Venice;Italy;MAREA;Matchmaking_Restoration_Ecolog_and_Aquaculture;45.258994;12.263068
Voordelta;Netherlands;Voordelta;Borkum_Stones,_Voordelta;51.866662;3.865096
Clew_bay;Ireland;Clew_Bay;Clew_Bay_habitat_restoration_project;53.82757;-9.800501
Conamara_KilkieranBay;Ireland;Oisre_KilkiernanBay;Oyster_information_and_scientific_restoration_of_ecosystems_of_Conmara;53.278625;-9.767536
