hex1,lon,lat,num_dss_sources,rel_pathogen_concentration,rel_num_dss_sources,rel_num_dss_sources_category,rel_pathogen_concentration_category
"(0, -45, 45)",-3.0000000000000004,47.48986141856216,11.0,1.0,1.0,4.0,4.0
"(7, -34, 27)",-1.5442873064130327,49.74149310485254,7.0,0.022994011976047907,0.6363636363636364,4.0,1.0
"(5, -40, 35)",-1.9832000862767913,48.655073179800944,6.0,0.2366124893071001,0.5454545454545454,4.0,2.0
"(-11, 7, 4)",-5.560333207567755,54.70642394622654,2.0,0.02676149239981576,0.18181818181818182,2.0,1.0
"(5, -27, 22)",-1.9393185301146285,50.68094649088775,2.0,0.266715799170889,0.18181818181818182,2.0,4.0
"(-8, 11, -3)",-4.902595823271622,55.574491323742656,1.0,0.013855366190695533,0.09090909090909091,1.0,1.0
"(27, -31, 4)",2.8544030647680265,51.62627729362804,1.0,0.05719023491478582,0.09090909090909091,1.0,2.0
"(31, -31, 0)",3.7640086503256973,51.888536737850195,1.0,0.4683187471211424,0.09090909090909091,1.0,4.0
"(35, -24, -11)",4.878877610820301,53.225639358726774,1.0,0.03205503885845331,0.09090909090909091,1.0,1.0
"(42, -23, -19)",6.595486497399253,53.80370092262495,1.0,0.0035006909258406267,0.09090909090909091,1.0,1.0
